System,Latency_ms
Static PQ (Pure ADC),0.3330000035930425
AO-PQ (Pure ADC Multi-Epoch),0.3193750017089769
Static PQ (Pure ADC),0.22762500157114118
AO-PQ (Pure ADC Multi-Epoch),0.29266699857544154
Static PQ (Pure ADC),0.21970800298731774
AO-PQ (Pure ADC Multi-Epoch),0.27887499891221523
Static PQ (Pure ADC),0.1801249891286716
AO-PQ (Pure ADC Multi-Epoch),0.240332999965176
Static PQ (Pure ADC),0.31620801019016653
AO-PQ (Pure ADC Multi-Epoch),0.33724999229889363
Static PQ (Pure ADC),0.18470801296643913
AO-PQ (Pure ADC Multi-Epoch),0.2855000057024881
Static PQ (Pure ADC),0.3145829978166148
AO-PQ (Pure ADC Multi-Epoch),0.28658298833761364
Static PQ (Pure ADC),0.3145420050714165
AO-PQ (Pure ADC Multi-Epoch),0.2855420025298372
Static PQ (Pure ADC),0.21129199012648314
AO-PQ (Pure ADC Multi-Epoch),0.24320799275301397
Static PQ (Pure ADC),0.20891700114589185
AO-PQ (Pure ADC Multi-Epoch),0.25641599495429546
Static PQ (Pure ADC),0.298250000923872
AO-PQ (Pure ADC Multi-Epoch),0.24629100516904145
Static PQ (Pure ADC),0.18504199397284538
AO-PQ (Pure ADC Multi-Epoch),0.24416700762230903
Static PQ (Pure ADC),0.34941700869239867
AO-PQ (Pure ADC Multi-Epoch),0.3302080003777519
Static PQ (Pure ADC),0.2876660000765696
AO-PQ (Pure ADC Multi-Epoch),0.27466700703371316
Static PQ (Pure ADC),0.19433299894444644
AO-PQ (Pure ADC Multi-Epoch),0.28416700661182404
Static PQ (Pure ADC),0.16629199672024697
AO-PQ (Pure ADC Multi-Epoch),0.24666599347256124
Static PQ (Pure ADC),0.185500000952743
AO-PQ (Pure ADC Multi-Epoch),0.27291699370834976
Static PQ (Pure ADC),0.32820900378283113
AO-PQ (Pure ADC Multi-Epoch),0.3092090046266094
Static PQ (Pure ADC),0.18895800167229027
AO-PQ (Pure ADC Multi-Epoch),0.29399999766610563
Static PQ (Pure ADC),0.18033299420494586
AO-PQ (Pure ADC Multi-Epoch),0.28558300982695073
Static PQ (Pure ADC),0.1802079932531342
AO-PQ (Pure ADC Multi-Epoch),0.30204199720174074
Static PQ (Pure ADC),0.17229099466931075
AO-PQ (Pure ADC Multi-Epoch),0.2604999899631366
Static PQ (Pure ADC),0.21054199896752834
AO-PQ (Pure ADC Multi-Epoch),0.3141249908367172
Static PQ (Pure ADC),0.1824160135583952
AO-PQ (Pure ADC Multi-Epoch),0.2733329893089831
Static PQ (Pure ADC),0.16933299775701016
AO-PQ (Pure ADC Multi-Epoch),0.23879201035015285
Static PQ (Pure ADC),0.3335830115247518
AO-PQ (Pure ADC Multi-Epoch),0.32412499422207475
Static PQ (Pure ADC),0.22112499573267996
AO-PQ (Pure ADC Multi-Epoch),0.2606250054668635
Static PQ (Pure ADC),0.3578329924494028
AO-PQ (Pure ADC Multi-Epoch),0.2400419907644391
Static PQ (Pure ADC),0.30691700521856546
AO-PQ (Pure ADC Multi-Epoch),0.3174169978592545
Static PQ (Pure ADC),0.20725000649690628
AO-PQ (Pure ADC Multi-Epoch),0.2685409999685362
Static PQ (Pure ADC),0.3810829948633909
AO-PQ (Pure ADC Multi-Epoch),0.2852909965440631
Static PQ (Pure ADC),0.23725000210106373
AO-PQ (Pure ADC Multi-Epoch),0.28041598852723837
Static PQ (Pure ADC),0.2542909933254123
AO-PQ (Pure ADC Multi-Epoch),0.2908749884227291
Static PQ (Pure ADC),0.2227500081062317
AO-PQ (Pure ADC Multi-Epoch),0.27999999292660505
Static PQ (Pure ADC),0.23641700681764632
AO-PQ (Pure ADC Multi-Epoch),0.25749999622348696
Static PQ (Pure ADC),0.37112500285729766
AO-PQ (Pure ADC Multi-Epoch),0.4778750007972121
Static PQ (Pure ADC),0.3770829935092479
AO-PQ (Pure ADC Multi-Epoch),0.2939590049209073
Static PQ (Pure ADC),0.2096250100294128
AO-PQ (Pure ADC Multi-Epoch),0.32329199893865734
Static PQ (Pure ADC),0.17595798999536783
AO-PQ (Pure ADC Multi-Epoch),0.286666996544227
Static PQ (Pure ADC),0.192749997950159
AO-PQ (Pure ADC Multi-Epoch),0.304959001368843
Static PQ (Pure ADC),0.18216698663309216
AO-PQ (Pure ADC Multi-Epoch),0.2572080120444298
Static PQ (Pure ADC),0.18879200797528028
AO-PQ (Pure ADC Multi-Epoch),0.28170799487270415
Static PQ (Pure ADC),0.17566600581631064
AO-PQ (Pure ADC Multi-Epoch),0.26775000151246786
Static PQ (Pure ADC),0.19716699898708612
AO-PQ (Pure ADC Multi-Epoch),0.2924169966718182
Static PQ (Pure ADC),0.1654579973546788
AO-PQ (Pure ADC Multi-Epoch),0.2016669895965606
Static PQ (Pure ADC),0.210291997063905
AO-PQ (Pure ADC Multi-Epoch),0.2793750027194619
Static PQ (Pure ADC),0.1902920048451051
AO-PQ (Pure ADC Multi-Epoch),0.26291700487490743
Static PQ (Pure ADC),0.17820799257606268
AO-PQ (Pure ADC Multi-Epoch),0.3002090088557452
Static PQ (Pure ADC),0.1935420004883781
AO-PQ (Pure ADC Multi-Epoch),0.2844170085154474
Static PQ (Pure ADC),0.29995900695212185
AO-PQ (Pure ADC Multi-Epoch),0.29245800396893173
Static PQ (Pure ADC),0.2535410021664575
AO-PQ (Pure ADC Multi-Epoch),0.2641249884618446
Static PQ (Pure ADC),0.1793749979697168
AO-PQ (Pure ADC Multi-Epoch),0.28904200007673353
Static PQ (Pure ADC),0.18116700812242925
AO-PQ (Pure ADC Multi-Epoch),0.2988339983858168
Static PQ (Pure ADC),0.24258300254587084
